"","cock_id","cockname","alcohol","base","taste","contents"
"11",11,"니콜라스치카 [   Nikolaschika ]","약 41˚","브랜디","새콤달콤한 맛","독일의 함부르크에서 처음 만들어진 칵테일로 니콜라스키라고도 한다. 이 칵테일은 뭐니뭐니해도 맛보는 방법이 특징이다. 우선, 글라스 위에 슬라이스 레몬을 놓고 그 위에 설탕을 놓아둔다. 그 다음 레몬 사이에 설탕을 끼워<U+00A0>한 입에 넣고, 레몬즙과 설탕의 맛이 입 안에 넓게 퍼지도록 가볍게 깨문다. 단맛이 넓게 퍼질 무렵 브랜디를 마신다.<U+00A0>입 안을 믹싱 글라스처럼 이용하는 빌드형 드링크인 것이다. 만드는 법은 리큐어 글라스에 브랜디를 적당량 따르고, 그 위에 설탕을 놓은 슬라이스 레몬를 뚜껑처럼 덮으면 된다."
"12",12,"다이키리 [   Daiquiri ]","약 30˚","럼","약간 신맛과 단맛","다이키리는 쿠바의 도시 산차고 교외에 있는 광산의 이름이다. 1896년경 폭염 속에서 땀을 흘리던 이 광산 기술자들 속에서 생겨났다고 하는데 다른 의견도 많다. 다이키리라는 이름은 나중에 미국 기술원조단의 일원으로 이 광산에서 기사로 일하고 있던 제닝스 콕스에 의해 붙여졌다. 럼 베이스의 대표적인 칵테일이다. 신맛과 단맛의 조화가 뛰어나다. 셰이커에 얼음과 화이트 럼 1½온스, 라임 주스 ½온스, 설탕 2티스푼을 넣고 잘 흔든 다음 칵테일 글라스에 따른다. 이 레시피에 외에 가미하는 리큐어에 따라 '스트로베리 다이키리', '카시스 다이키리', '비터스 다이키리' 등이 된다."
"13",13,"드림 [   Dream ]","약 33˚","브랜디","강하고 쓰면서 달콤함","'꿈'이라는 이름의 고전적인 칵테일로 그 이름 그대로 잠들기 바로 전에 마시는 술이다. 브랜디가 가진 방향, 오렌지 퀴라소의 적당한 단맛, 페르노의 약초향이 어우러져 기분 좋은 취기를 느낄 수 있다. 로맨틱한 무드를 연출하기에 좋기 때문에 여성들에게 인기 있는 칵테일이기도 하다. 셰이커에 브랜디 1½온스, 오렌지 퀴라소 ½온스, 페르노(Pernod) 1대시를 얼음과 함께 넣고 흔든 다음 글라스에 따른다."
"14",14,"러스티 네일 [   Rusty Nail ]","약 36˚","위스키","벌꿀향이 나는 약간 단맛","'녹슨 발톱' 또는 '고풍스러운'이라는 의미를 지닌 칵테일이다. 위스키로 만든 리큐어 가운데 가장 역사가 깊은 드람브이(Drambuie)를 사용하는 것이 특징이다. 드람브이는 스카치 위스키에 벌꿀과 허브를 첨가하여 단맛이 강하다. 위스키의 쓴맛과 드람브이의 단맛이 적절히 조화된 러스티 네일은 식후에 마시기 좋은 칵테일로 손꼽힌다. 여기에 오렌지 비터스를 두방울 넣으면 '스카치 킬트'라는 칵테일이 된다. 올드 패션드 글라스에 스카치 위스키 1½온스, 드람브이 ½온스를 따른 후 크러시드 아이스(잘게 부순 얼음)를 넣고 가볍게 저어서 만든다."
"15",15,"러시안 [   Russian ]","약 33˚","보드카","조금 단맛","러시아를 대표하는 술인 보드카를 베이스로 한 이름 그대로 '러시아의 칵테일'이다. 보드카와 드라이 진, 2가지 강한 술을 크렘 드 카카오의 단맛이 부드럽게 감싸고 있다. 혀에 닿는 맛이 좋은 대신에 도수가 상당히 높아서 레이디 킬러 칵테일로도 유명하다. 식후에 적합한 칵테일이다. 셰이커에 얼음과 보드카 ⅔온스, 드라이 진 ⅔온스, 크렘 드 카카오 ⅔온스를 붓고 잘 흔든 다음 칵테일 글라스에 따른다."
"16",16,"레드 아이 [   Red Eye ]","약 3˚","비어","약간 쓴맛","토마토 주스로 숙취시의 '충혈된 눈'을 표현한 칵테일이다. 이름에서도 풍기듯이 해장술로 적당한 칵테일로도 알려져 있다. 미국인들이 칵테일 재료가 없을 때 무엇이든 토마토 주스나 세븐 업에 섞어서 마셨던 풍토에서 탄생했다고 한다. 기본 레시피에는 비어와 토마토 주스의 배합이 반반이지만 기호에 따라 조절할 수 있다. 재료는 모두 아주 차게 식혀 두어야 한다. 아주 차게 식힌 토마토 주스 Half, 비어 Half를 하이 볼 글라스 또는 비어 머그 글라스에 부은 다음 가볍게 젓는다. 서양에서는 마지막에 달걀 노른자를 넣기도 한다."
"17",17,"레인보우 [   Rainbow ]","약 36˚","리큐어","달콤한 맛","그레나딘 시럽, 크렘 드 카카오, 크렘 드 바이올렛, 블루 퀴라소, 메론 리큐어(갈리아노), 트피플섹, 브랜디의 7가지 재료로 '무지개'를 표현한 푸스카페 스타일의 칵테일이다. 재료에 제한은 없지만, 난이도가 있는 칵테일이기 때문에 제조는 프로에게 맡기는 편이 좋다. 마시기 전에 브랜디에 불을 붙이면 로맨틱한 분위기가 한층 무르익는다. 마실 때는 불을 끄고 짧게 자른 빨대로 좋아하는 층을 골라서 마신다. 마시기만 하는 것이 아니라 보고 즐기는 칵테일이라고 할 수 있다. 그레나딘 시럽 1/7, 크렘 드 카카오 브라운 1/7, 크렘 드 민트그린 1/7, 블루 퀴라소 1/7, 갈리아노 1/7, 트리플섹 1/7, 브랜디 1/7을 순서대로 천천히 글라스에 따른다.- 레인보우 칵테일은 맨 아래층에 그레나딘 시럽과 맨 윗층에 브랜디를 사용하되, 중간층 리큐어는 다른 리큐어를 써도 섞이지 않게 층층이 쌓으면 된다."
"18",18,"로브 로이 [   Rob Roy ]","약 32˚","위스키","단맛","로브 로이는 '빨간 머리 로버트'라는 의미인데, 가난한 사람들에게 금품을 나누어 주어 의적으로 추앙받던 스코틀랜드 출생 인물인 로버트 맥두겔의 애칭이다. 이 칵테일은 '스카치 맨해튼'이라고도 불리기도 하는데, 이름처럼 스카치 위스키를 베이스로 사용한다. 맨해튼처럼 여러가지 변화를 주어 즐길 수 있다. 스카치 위스키 1½온스, 스위트 베르무트(Sweet Vermouth) ⅔온스, 앙고스투라 비터스 1대시와 얼음을 믹싱 글라스에 넣고 저은 후 글라스에 따른다. 기호에 따라 레몬필 또는 체리를 넣어 장식한다."
"19",19,"롱 아일랜드 아이스티 [   Long Island Iced Tea ]","약 19˚","진","깔끔한 맛","이름에 있는 아이스티는 완성된 맛과 색채 때문에 붙었다. 홍차를 사용하지 않고 홍차의 색과 맛을 만들어 내는 칵테일이다. 드라이 진, 보드카, 화이트 럼, 테킬라라는 정주 4종류를 넣기 때문에 보기보다 진한 맛을 느낄 수 있는 칵테일이다. 크러시드 아이스(잘게 부순 얼음)를 채운 글라스에 드라이 진 ½온스, 보드카 ½온스, 화이트 럼 ½온스, 테킬라 ½온스, 화이트 퀴라소 ½온스, 레몬 주스 30㎖, 설탕 시럽 1티스푼, 콜라 적당량을 순서대로 따른다. 바스푼으로 가볍게 저은 다음 레몬과 빨대를 장식한다."
"20",20,"마르가리타 [   Margarita ]","약 30˚","테킬라","약간 새콤한 맛","1949년에 개최된 전미 칵테일 콘테스트 입선작으로 존 듀레서씨가 고안한 칵테일이다. 불행하게 죽은 그의 연인 '마르가리타'의 이름을 붙여 출품하였다고 한다. 코앙도르를 블루 큐라소로 변화시키면 블루 마르가리타라는 이름의 칵테일이 된다. 칵테일<U+00A0>글라스에 레몬이나 라임으로 가장자리를 적신 후 소금을 묻혀 스노우 스타일로 장식해 둔다. 얼음과 함께 테킬라 2/4, 코앙트로 1/4, 라임 주스 1/4를 셰이커에 넣고 흔든 다음 준비해 둔 글라스에 따른다."
"21",21,"마이애미 [   Miami ]","약 33˚","럼","조금 쓴맛","미국 플로리다에 위치한 비치 리조트 지대인 '마이애미'의 이름을 붙인 칵테일이다. 마이애미는 카리브 해를 끼고 쿠바와도 가까워 일찍부터 럼을 즐겨왔다. 카리브 해로부터 불어오는 산들바람을 페퍼민트(화이트)로 표현한 달콤하고 상쾌한 칵테일이다. 알코올 도수가 높은 라이트 럼을 페퍼민트(화이트)와 레몬 주스가 부드럽게 감싸 청량감이 풍부한 칵테일이다. 셰이커에 얼음과 화이트 럼 1½온스, 페퍼민트(화이트) ½온스, 레몬 주스 1티스푼을 넣고 잘 흔든 다음 글라스에 따른다."
"22",22,"마이타이 [   Mai tai ]","약 25˚","럼","약간 단맛","마이타이란 타이티어로 '최고'라는 의미이다. 오클랜드에 있는 폴리네시안 레스토랑인 '토레다 빅스'의 사장인 빅터 J. 바지로가 고안한 트로피칼 칵테일이다. 전세계적으로 사랑받고 있는 문자 그대로 '최고'인 트로피컬 칵테일이다. 장식의 화려함과 칵테일의 색 배합과 그 실루엣은 아름답기로 유명하다. 전세계에 레시피가 알려져서 럼만 타면 즉석에서 만들 수 있도록 한<U+00A0>마이타이믹스, 완제품을 병에 담아 놓은 것 등 미국을 중심으로 다양한 제품이 나와 있다. 셰이커에 화이트 럼 1~1½온스, 오렌지 퀴라소 1티스푼, 파인애플 주스 2티스푼, 오렌지 주스 2티스푼, 레몬 주스 1티스푼을 넣어 잘 흔든 다음 크러시드 아이스(잘게 부순 얼음)을 채운 글라스에 따라 다크 럼을 띄우고 계절 꽃과 과일로 장식한다. 다른 유형의 마이타이 칵테일도 있다."
"23",23,"마타도르 [   Matador ]","약 15˚","테킬라","단맛","마타도르는 투우 경기 때 최후에 등장하여 소에게 마지막 일격을 가하는 '투우장의 주역'이라는 의미이다. 용맹한 이름과는 대조적으로 완성된 칵테일의 상쾌한 색배합은 지극히 여성적이다. 파인애플 주스의 달콤함과 라임 주스의 적절한 신맛을 과일 특유의 상쾌한 맛으로 마무리하고 있다. 장식으로는 슬라이스 레몬을 써도 좋다. 셰이커에 얼음과 테킬라 1온스, 파인애플 주스 1½온스, 라임 주스 ½온스를 넣고 잘 흔든 다음 글라스에 따른다."
"24",24,"마티니 [   martini ]","약 34˚","진","쌉쌀한 맛","진에 베르무트를 섞은 후 올리브로 장식한 무색 투명한 칵테일이다. 냄새는 향긋하지만<U+00A0>강한 쓴맛이 난다. 주로 식전에 마신다. 마티니라는 이름은 베르무트를 생산하는 회사인 이탈리아의 '마티니 앤 로시(Martini & Rossi)'의 이름에서 유래되었다.<U+00A0>진과 베르무트의 배합 비율에 따라 맛이 달라진다. 드라이 진과 드라이 베르무트를 3:1로 배합하는 것을 기본으로 한다. 얼음을 넣어 온더락스로 할 수도 있다. 스위트 마티니는 드라이 진과 스위트 베르무트의 비율을 2:1, 미디엄 마티니는 드라이 진과 드라이 베르무트의 비율을 2:1/2, 드라이 마티니는 드라이 진과 베르무트의 비율을 5:1, 엑스트라 마티니는 7:1로 한다. 만드는 방법은 믹싱글라스에 얼음·진·베르무트를 넣는다. 내용물을 저은 후 잔에 따르고 올리브로 장식한다. 맛을 좋게 하기 위하여 단단하고 물기가 없는 얼음을 사용한다. 또 너무 오래 저어서 얼음이 녹지 않게 해야 한다."
"25",25,"마티니 드라이 [   Martini Dry ]","약 35˚","진","쓴맛","마티니를 변화시킨 칵테일 중의 하나이다. 어니스트 헤밍웨이가 애음했다는 칵테일로 유명한데, 그의 작품에 때때로 등장한다. 쓴맛이 강해 식전에 먹으면 좋은 칵테일이다. 베이스인 드라이 진을 위스키로 바꾸면 위스키 마티니가 되고, 테킬라로 바꾸면 테킬라 마티니라는 칵테일이 된다. 얼음을 넣은 믹싱 글라스에 드라이 진 2온스, 드라이 베르무트(Dry Vermouth) 1티스푼을 넣는다. 바스푼으로 재료를 섞은 다음 글라스에 따르고 칵테일 핀에 꽂은 올리브를 장식한다. 기호에 따라 레몬 필을 장식한다."
"26",26,"맨해튼 [   Manhattan ]","약 32˚","위스키","약간 쓴맛","19세기 중반부터 세계인들이 즐겨 마셨던 칵테일로 '칵테일의 여왕'이라고도 부른다. 맨해튼이라는 이름은 제19대 미국대통령선거 때 윈스턴 처칠의 어머니가 맨해튼클럽에서 파티를 열었을때 처음 선보인 칵테일이기 때문에 붙여졌다는 설과 메릴랜드주의 바텐더가 상처 입은 무장경비원의 사기를 북돋아 주려고 만들었다고 하는 설 등 다수가 있다. 보통의 맨해튼은 아메리칸 위스키를 베이스로 만들며 스위트 베르무트와 앙고스투라 비터스를 사용한다. 버번 위스키를 베이스로 하는 경우도 있다. 아메리칸 위스키 1½온스, 스위트 베르무트(Sweet Vermouth) ⅔온스, 앙고스투라 비터스(Angostura Bitters) 1대시를 믹싱글라스에 넣고 바스푼으로 저은 후<U+00A0>체리로 장식한다."
"27",27,"모스크바 뮬 [   Moscow Mule ]","약 15˚","보드카","조금 달콤한 맛","모스크바 뮬은 '모스크바의 노새'라는 의미이다. 또한 뮬에는 '킥이 강한 음료' 즉 '노새의 뒷발에 차였을 때와 같은 느낌의 술'이라는 의미도 있다. 진저 향과 탄산이 목을 상쾌하게 자극하는 맛으로 인기가 높다. 1940년경 미국 할리우드에 있는 코큰 볼이라는 레스토랑 사장인 잭 모건씨가 고안해 낸 칵테일이다. 잭 모건씨가 당시 보드카와 동제품을 취급하는 친구와 함께 사업을 하고 있었기 때문에 모스크바 뮬은 동제품으로 만든 머그컵으로 마시는 것으로 전파했다고 한다. 이것을 스미노프(Smirnoff) 보드카의 판매처인 휴브라인사의 잭 마틴씨가 보드카 판매를 확대하기 위한 홍보 수단으로 활용하면서 1946년부터 본격적으로 알려지기 시작하여 세계적인 칵테일이 되었다. 얼음을 넣은 동제품 머그컵 또는 하이 볼 글라스에 보드카 1~1½온스, 라임 주스 ½온스를 따르고 차게 식힌 진저 비어를 채우고 나서 먼저 라임 조각을 짜 넣은 다음 라임 껍질도 안에 넣는다. 진저 비어가 없을 때는 진저 에일로 대신해도 좋고, 라임 조각 대신에 민트 잎을 넣어도 좋다."
"28",28,"모킹버드 [   Mockingbird ]","약 25˚","테킬라","단맛","모킹버드란 멕시코 태생으로 미국 남부에 서식하고 있는 '흉내지빠귀새'를 가리킨다. 멕시코를 대표하는 또 다른 상징인 테킬라를 베이스로 사용한 것에서 이름이 유래 되었다. 페퍼민트(그린)가 만들어내는 에메랄드 그린 색으로 인해 상큼한 느낌을 준다. 완성품의 아름다움을 즐기면서 기분 좋게 취할 수 있는 여성용 칵테일이다. 셰이커에 테킬라 1½온스, 페퍼민트(그린) ½온스, 라임 주스 ½온스과 얼음을 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
"29",29,"미모사 [   Mimosa ]","약 8˚","와인","조금 쓴맛","완성품의 색이 미모사 꽃과 유사한 것에서 붙여진 이름이다. 프랑스에서는 이 칵테일이 '샴페인 아 로랑주(오렌지 주스가 들어있는 샴페인)'라는 이름으로 옛날부터 상류층 사이에서 사랑받아 왔다. 영국에서는 런던에 있는 벅스 클럽이 프랑스의 샴페인 아 로랑주에 자기 상점의 이름을 붙여 부른 것에서 이 칵테일을 벅스피즈라고도 부르고 있다. 톡 쏘는 샴페인의 청량감과 오렌지 주스의 맛이 잘 어울리는 칵테일이다. 와인 글라스에 아주 차게 식힌 샴페인 Half, 오렌지 주스 Half를 따르고 가볍게 저어 슬라이스 오렌지로 장식한다. 재료는 모두 아주 차게 식혀 두어야 한다.- 샴페인은 스파클링 와인으로 불리기도한다."
"30",30,"민트 비어 [   Mint Beer ]","약 5˚","비어","약간 쓴맛","비어와 페퍼민트(그린)로 만든 청량감 있는 칵테일이다. 비어의 쌉쌀함과 페퍼민트(그린)의 풍미가 조화를 이룬 산뜻한 맛을 즐길 수 있다. 페퍼민트(그린)를 넣어서 비어 본래의 기포는 거의 없어지지만 그래도 좋다. 자신의 기호에 맞춰서 페퍼민트(그린)의 양을 조절하면 더 맛있게 즐길 수 있다. 차게 식힌 비어를 적당히 고블렛 글라스에 따르고 페퍼민트(그린) ½온스를 넣은 다음 가볍게 젓는다."
"31",31,"민트 줄렙 [   Mint Julep ]","약 26˚","위스키","상큼하고 시원한 맛","상쾌한<U+00A0>민트 향이 나는 줄렙 스타일의 롱 드링크이다. 여름에 마시기 좋은 칵테일이다. 버번 위스키에 설탕과 물(또는 소다수)만을 넣어 만든 심플한 칵테일이지만, 절대적으로 빼놓을 수 없는 것은 민트 잎이다. 부서진 민트의 상쾌한 향을 느낄 수 있다. 레몬과 오렌지 등 계절 과일로 장식하여 완성한다.<U+00A0>재료로 버번 위스키 1½온스, 설탕 2티스푼, 물, 소다수, 민트 잎 4~6장을 준비한다. 콜린스 글라스에 민트 잎과 설탕, 물을 넣은 다음 설탕을 녹이면서 민트 잎을 부순다. 박하액이 약간 우러나오게 한 다음 버번 위스키 1½온스와 크러시드 아이스(잘게 부순 얼음)를 글라에 넣고 콜린스 글라스에 넣고 소다수로 잔을 채워 잘 저어 준 다음 민트 잎 3~4개를 띄어 준다."
"32",32,"민트 프라페 [   Mint Frappe ]","약 17˚","리큐어","달콤한 맛","'프라페'란 프랑스어로 '얼음으로 차게 식히다'라는 의미이다. 크러시드 아이스(잘게 부순 얼음)를 채운 글라스에 술을 따르고 차게 식힌 스타일 또는 크러시드 아이스와 술을 잘 흔든 후 얼음채 글라스에 따르는 스타일을 가리킨다. '민트 프라페'는 크렘 드 망트(그린)만을 사용해 만든 칵테일로 프라페 중에서도 가장 인기 있는 칵테일이다. 민트의 맛과 색이 청량감을 더해서 여름철 식후 칵테일로 가장 적합하다. 크렘 드 망트(그린) 외에 대부분의 리큐어도 프라페로 마시고 있다. 크러시드 아이스(잘게 부순 얼음)를 채운 글라스에 크렘 드 망트(그린) 1~1½온스를 따른 다음 체리와 민트 잎으로 장식하고 빨대를 꽂는다."
"33",33,"밀리언 달러 [   Million Dollar ]","약 18˚","진","깔끔한 맛","'백만달러'라는 이름이 붙은 칵테일이다. 일본에서 처음 만들어졌다고 한다. 당시 일본은 불경기였기 때문에 경기가 회복되길 바라는 마음에서 거꾸로 이러한 이름을 붙였다고 한다. 계란 흰자를 사용하기 때문에 재료를 충분히 흔들어 주어야 한다. 셰이커에 드라이 진 1온스, 스위트 베르무트 ½온스, 파인애플 주스 ½온스, 그레나딘 시럽 2티스푼, 계란 흰자 1개와 얼음을 넣는다. 셰이크한 다음 칵테일 글라스 또는 샴페인 글라스에 따르고 파인애플을 장식한다."
"34",34,"바카디 [   Bacardi ]","약 30˚","럼","조금 쓴맛","1933년 미국의 금주법폐지를 계기로 당시 쿠바에 있던 바카디사가 자사 럼의 판매촉진용으로 다이커리를 개량한 칵테일이다. 손님이 타사의 럼을 사용한 바(Bar)들을 상대로 소송을 제기하여 뉴욕 고등법원이 '바카디를 만들 때에는 바카디사의 럼을 써야 한다'는 판결을 얻어낸 일화로 유명하다. 다른 럼을 사용할 경우에는 '핑크 다이커리'로 부른다. 라임 풍의 부드럽고 가벼운 맛이 특징이다. 셰이커에 얼음과 바카디 럼(화이트) 1½온스, 라임 주스 ½온스, 그레나딘 시럽 2티스푼을 넣고 잘 흔든 다음 글라스에 따른다."
"35",35,"발랄라이카 [   Balalaika ]","약 25˚","보드카","약간 단맛으로 레몬 주스 향이 강함","러시아 민속악기의 하나인 발랄라이카라는 이름이 붙은 칵테일이다. 사이드 카는 브랜디 베이스인데 이를 보드카로 변화시킨 것으로 보드카 사이드 카라고도 불린다. 화이트 퀴라소와 레몬 주스가 어우러져 적당한 단 맛과 함께 산뜻한 맛을 내어 인기가 많다. 셰이커에 얼음과 보드카 1½온스, 화이트 퀴라소 ½온스, 레몬 주스 ½온스를 넣고 흔든 다음 글라스에 따른다. 가미카제 칵테일하고 비슷하다."
"36",36,"발렌시아 [   Valencia ]","약 13˚","리큐어","달콤한 맛","오렌지 산지로 유명한 스페인 동부의 발렌시아 지방에서 이름을 딴 칵테일이다. 재료에 발렌시아 오렌지 주스를 사용한 것에서 이름이 유래되었다. 에프리코트 브랜디와 오렌지 주스가 훌륭하게 조화를 이뤄 맛이 좋고, 달콤한 맛이 나기 때문에 마시기 쉬운 칵테일이다. 오렌지 비터스가 그 맛을 배가시키고 있다. 술이 약한 사람은 오렌지 주스의 양을 늘려 더 순한 칵테일로 만들어 먹으면 좋다. 셰이커에 얼음과 에프리코트 브랜디 1½온스, 오렌지 주스 ½온스, 오렌지 비터스 2대시를 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
