"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"서초구청 2층 교통행정과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 2층 주민생활과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 2층 복지정책과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 2층 여성보육과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 3층 본회의장",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 4층 주민행정과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 4층 건설관리과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 5층 행정지원과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 5층 구청장실",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 5층 대회의실-1",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 5층 대회의실-2",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 5층 부구청장실",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 5층 소회의실",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 6층 기획예산",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 6층 사회복지과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 6층 건축과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 7층 세무1과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 7층 세무2과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 8층 공원녹지과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 8층 청소행정과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 8층 도로과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 9층 교육장",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"내곡동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.461929,127.051169,2018-08-03
"내곡동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.461929,127.051169,2018-08-03
"내곡동주민센터 3층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.461929,127.051169,2018-08-03
"양재1동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.471648,127.026722,2018-08-03
"양재1동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.471648,127.026722,2018-08-03
"양재1동주민센터 3층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.471648,127.026722,2018-08-03
"서초1동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.491136,127.019291,2018-08-03
"서초2동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.492079,127.024926,2018-08-03
"서초2동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.492079,127.024926,2018-08-03
"서초2동주민센터 3층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.492079,127.024926,2018-08-03
"서초2동주민센터 4층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.492079,127.024926,2018-08-03
"서초3동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483645,127.012494,2018-08-03
"서초3동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483645,127.012494,2018-08-03
"서초4동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.502751,127.022102,2018-08-03
"서초4동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.502751,127.022102,2018-08-03
"반포1동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.505101,127.013363,2018-08-03
"반포1동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.505101,127.013363,2018-08-03
"반포1동주민센터 3층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.505101,127.013363,2018-08-03
"반포1동주민센터 4층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.505101,127.013363,2018-08-03
"반포2동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.504581,126.994459,2018-08-03
"반포3동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.512185,127.005481,2018-08-03
"반포3동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.512185,127.005481,2018-08-03
"반포4동주민센터",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.497512,127.000291,2018-08-03
"반포본동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.500521,126.986081,2018-08-03
"반포본동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.500521,126.986081,2018-08-03
"방배1동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483341,126.994526,2018-08-03
"방배1동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483341,126.994526,2018-08-03
"방배1동주민센터 4층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483341,126.994526,2018-08-03
"방배2동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.479837,126.985656,2018-08-03
"방배2동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.479837,126.985656,2018-08-03
"방배3동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.480337,126.999027,2018-08-03
"방배3동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.480337,126.999027,2018-08-03
"방배본동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.494167,126.988832,2018-08-03
"방배본동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.494167,126.988832,2018-08-03
"잠원동주민센터 1층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.516057,127.014055,2018-08-03
"잠원동주민센터 2층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.516057,127.014055,2018-08-03
"잠원동주민센터 3층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.516057,127.014055,2018-08-03
"잠원동주민센터 4층",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.516057,127.014055,2018-08-03
"양재2동 주민센터 1층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 323-1,미래창조과학부,1899-4876,37.470601,127.041188,2018-08-03
"양재2동 주민센터 2층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 323-1,미래창조과학부,1899-4876,37.470601,127.041188,2018-08-03
"양재2동 주민센터 3층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 323-1,미래창조과학부,1899-4876,37.470601,127.041188,2018-08-03
"양재2동 주민센터 4층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 323-1,미래창조과학부,1899-4876,37.470601,127.041188,2018-08-03
"방배4동 열린문화센터 1층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 방배동 853-4,미래창조과학부,1899-4876,37.489007,126.992334,2018-08-03
"방배4동 열린문화센터 2층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 방배동 853-4,미래창조과학부,1899-4876,37.489007,126.992334,2018-08-03
"방배4동 열린문화센터 3층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 방배동 853-4,미래창조과학부,1899-4876,37.489007,126.992334,2018-08-03
"방배4동 열린문화센터 4층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 방배동 853-4,미래창조과학부,1899-4876,37.489007,126.992334,2018-08-03
"방배4동 열린문화센터 5층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 방배동 853-4,미래창조과학부,1899-4876,37.489007,126.992334,2018-08-03
"방배4동 열린문화센터 6층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 방배동 853-4,미래창조과학부,1899-4876,37.489007,126.992334,2018-08-03
"내곡느티나무쉼터 2층 정신건강증진센터",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 14-4,미래창조과학부,02-2155-6426,37.458333,127.077182,2018-08-03
"서초문화예술회관 1층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 25,미래창조과학부,1899-4877,37.4818100,127.0357439,2018-08-03
"서초문화예술회관 1층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 25,미래창조과학부,1899-4878,37.4818100,127.0357439,2018-08-03
"서초문화예술회관 2층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 25,미래창조과학부,1899-4879,37.4818100,127.0357439,2018-08-03
"서초문화예술회관 2층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 25,미래창조과학부,1899-4880,37.4818100,127.0357439,2018-08-03
"서초문화예술회관 3층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 25,미래창조과학부,1899-4881,37.4818100,127.0357439,2018-08-03
"서초문화예술회관 4층",서울특별시,서울특별시,관공서,관공서,미래창조과학부,Public WiFi Free,2015-03,,서울특별시 서초구 양재동 25,미래창조과학부,1899-4882,37.4818100,127.0357439,2018-08-03
